14,177
42,48
48,42
236,48
48,236
48,257
113,48
257,48
123,257
92,48
92,236
256,48
42,256
257,123
177,14
177,48
14,48
48,109
48,264
175,92
48,14
123,151
194,48
256,42
48,92
175,48
109,257
134,48
48,256
177,49
180,48
48,123
48,255
255,48
64,48
58,92
196,92
64,92
92,58
92,196
48,64
92,64
92,111
256,257
111,92
48,134
123,48
134,123
48,177
49,177
48,49
48,238
48,241
241,48
109,147
238,48
257,256
264,48
48,113
109,48
65,48
83,42
49,14
257,134
160,33
160,257
177,211
14,211
257,33
14,202
123,202
83,48
83,256
48,114
48,151
48,186
92,256
114,48
123,14
151,48
186,48
174,114
114,174
48,202
65,83
202,48
256,14
14,49
14,256
48,219
48,230
15,48
219,48
241,238
48,180
48,83
48,93
92,123
93,48
240,48
123,92
230,48
219,14
256,109
42,257
33,48
257,42
180,257
228,257
256,228
48,33
180,228
257,180
257,228
40,48
48,40
14,93
92,264
264,123
219,93
48,15
92,15
93,14
264,92
48,194
257,14
256,230
48,121
121,48
14,190
48,119
120,48
123,177
119,48
49,48
83,255
114,257
151,113
14,151
48,65
230,219
14,175
175,14
48,82
82,48
180,255
219,151
14,236
228,48
190,186
48,228
117,48
48,117
241,151
